,listing_id,listing_url,price_type,kilometers,year,city,price,on_road_costs,scraped_on,price_total,predicted_price,discount
0,2778878348,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2778878348,asking,170487,2011,Invercargill,10990.0,1,2021-09-16 10:23:41.411763,10990.0,12553.250417988867,12.452953346240287
10,2952174962,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2952174962,asking,106000,2007,"East Tamaki,",9990.0,0,2021-09-16 10:25:05.981350,10290.0,10498.354511957468,1.984639704442783
13,2958179256,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2958179256,asking,124971,2009,"Mount Roskill, Auckland",10780.0,0,2021-09-16 10:25:29.046118,11080.0,12028.103890520353,7.882405233193715
40,3014611877,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3014611877,asking,163000,2010,Gore,9450.0,0,2021-09-16 10:29:42.906550,9750.0,11645.759501032011,16.278538989784348
41,3014824702,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3014824702,asking,99000,2008,"Penrose, Auckland",11500.0,0,2021-09-16 10:29:50.419713,11800.0,11907.533627020515,0.903072209483419
44,3017316297,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3017316297,asking,92250,2013,"Sydenham, Christchurch",16950.0,0,2021-09-16 10:30:20.874394,17250.0,20239.761517603394,14.771723051198352
48,3026123092,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3026123092,asking,41000,2010,"Sockburn, Christchurch",15980.0,0,2021-09-16 10:30:54.690735,16280.0,17880.608955314798,8.951646777326538
54,3035261238,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3035261238,asking,102000,2012,"Phillipstown, Christchurch",16990.0,0,2021-09-16 10:31:53.588359,17290.0,17672.8808994641,2.166488314170162
55,3037281039,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3037281039,asking,79000,2010,"Sockburn, Christchurch",13450.0,0,2021-09-16 10:32:00.913146,13750.0,15645.198271767793,12.113609804407096
60,3052571019,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3052571019,asking,58000,2012,"Sydenham, Christchurch",17950.0,0,2021-09-16 10:32:36.369468,18250.0,20628.453682485535,11.529965934891894
64,3057128344,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3057128344,asking,123000,2011,"Burnside, Christchurch",12999.0,0,2021-09-16 10:33:05.886693,13299.0,14833.303829154154,10.3436418941177
68,3067920591,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3067920591,asking,66000,2009,"Sydenham, Christchurch",13450.0,0,2021-09-16 10:33:43.109595,13750.0,14798.150983628104,7.082986143253457
69,3069737929,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3069737929,asking,65043,2012,"Wairau Valley, Auckland",17290.0,0,2021-09-16 10:33:49.115474,17590.0,20124.106335877474,12.592391898464786
83,3087951857,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3087951857,asking,57000,2010,"Bradford, Dunedin",15950.0,0,2021-09-16 10:35:23.151214,16250.0,16902.88096865816,3.862542544485469
87,3092638997,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3092638997,asking,85000,2010,"Otahuhu, Auckland",13495.0,0,2021-09-16 10:35:59.927299,13795.0,15318.737765859696,9.946888504453637
89,3094705417,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3094705417,asking,70500,2009,Gore,12950.0,1,2021-09-16 10:36:17.294144,12950.0,14565.952416066633,11.094038823607544
92,3101665031,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3101665031,asking,85041,2009,"Te Rapa, Hamilton",12490.0,0,2021-09-16 10:36:38.138005,12790.0,13840.26025522462,7.588442961743826
95,3102010212,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3102010212,asking,115000,2010,"Bradford, Dunedin",13450.0,0,2021-09-16 10:37:07.648118,13750.0,13785.817783514558,0.25981616815935143
112,3112760665,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3112760665,asking,152408,2011,"Beachville, Nelson",10995.0,0,2021-09-16 10:39:06.236679,11295.0,13376.763310026425,15.56253378921685
113,3112988796,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3112988796,asking,71000,2011,"Mt Roskill, Auckland",16888.0,0,2021-09-16 10:39:15.929475,17188.0,17807.707032522427,3.4799934174043208
118,3117774069,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3117774069,asking,150000,2009,"Palmerston North, Manawatu",9990.0,1,2021-09-16 10:35:28.997757,9990.0,11015.245982933811,9.307517821410887
121,3119022468,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3119022468,asking,134180,2012,Dunedin,13990.0,0,2021-09-16 10:40:23.935732,14290.0,15782.996621287313,9.459525697887019
129,3121885287,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3121885287,asking,102000,2011,"Phillipstown, Christchurch",14790.0,0,2021-09-16 10:41:21.078522,15090.0,15969.495853848484,5.507348897532886
135,3123177470,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3123177470,asking,132120,2013,"At intersection of Moorhouse & Deans Ave, Christchurch",16900.0,0,2021-09-16 10:42:15.260782,17200.0,17593.40440911305,2.236090298187388
146,3134101934,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3134101934,asking,95259,2009,Christchurch,12989.0,0,2021-09-16 10:43:38.608349,13289.0,13352.05246590546,0.4722305133721251
147,3134272284,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3134272284,asking,103745,2010,"Mt Roskill, Auckland",13988.0,0,2021-09-16 10:43:48.910644,14288.0,14342.06160175425,0.37694442581140575
151,3139652289,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3139652289,asking,40594,2010,Rangiora,16990.0,0,2021-09-16 10:44:29.338969,17290.0,17906.14111489994,3.4409486161551595
153,3139746518,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3139746518,asking,108000,2012,"Waikiwi, Invercargill",16950.0,0,2021-09-16 10:44:50.803725,17250.0,17304.109757093614,0.3126988782039643
160,3143417063,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3143417063,asking,89471,2009,"Sydenham, Christchurch",12950.0,0,2021-09-16 10:45:53.716409,13250.0,13626.443943475644,2.7625985549655154
165,3145401949,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3145401949,asking,185647,2017,Hamilton,16360.0,1,2021-09-16 10:42:58.005034,16360.0,21863.19463122179,25.171045330049523
172,3149265078,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3149265078,asking,101000,2010,"Albany, Auckland",11880.0,0,2021-09-16 10:29:27.654101,12180.0,14481.095229670618,15.890339737258657
175,3151249702,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3151249702,asking,144248,2012,"Otahuhu, AUCKLAND",13990.0,0,2021-09-16 10:47:24.918772,14290.0,15234.28897069315,6.198444656719576
179,3155289189,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155289189,asking,152000,2010,"Phillipstown, Christchurch",10890.0,0,2021-09-16 10:47:54.564348,11190.0,12104.8008306455,7.557338971902084
181,3155292164,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155292164,asking,103000,2010,"Burnside, Christchurch",12500.0,0,2021-09-16 10:48:08.806245,12800.0,14379.66316242074,10.985397533851636
182,3155292297,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155292297,asking,126000,2012,"Burnside, Christchurch",13299.0,0,2021-09-16 10:48:16.578145,13599.0,16243.327187643128,16.279467605964136
183,3155292509,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155292509,asking,124000,2010,"Burnside, Christchurch",11800.0,0,2021-09-16 10:48:23.654811,12100.0,13356.583989949808,9.407974306119943
184,3155292616,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155292616,asking,131000,2010,"Burnside, Christchurch",11300.0,0,2021-09-16 10:48:30.922110,11600.0,13031.996708428378,10.988313920477292
185,3155523448,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3155523448,asking,94000,2009,"Burnside, Christchurch",12000.0,0,2021-09-16 10:48:37.145721,12300.0,13411.263722327862,8.286047797850433
188,3156669835,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3156669835,asking,175200,2009,"Rangiora, Christchruch",9949.0,1,2021-09-16 10:44:19.905221,9949.0,10081.617674020816,1.3154404214569293
195,3161234289,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3161234289,asking,102387,2008,"Hamilton,",9650.0,0,2021-09-16 10:49:41.743885,9950.0,11766.629396560695,15.438825642725545
199,3164571833,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3164571833,asking,156000,2009,"Hastings, Hawke's Bay",10750.0,1,2021-09-16 10:50:12.336522,10750.0,10785.396369408321,0.3281879329787038
201,3166703921,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3166703921,near_offer,90000,2012,"Rangiora, Canterbury",16900.0,1,2021-09-16 10:50:28.320687,16900.0,18434.167521622727,8.322412822945187
215,3170476147,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170476147,asking,120659,2009,"Manurewa, Auckland",11490.0,1,2021-09-16 10:52:24.812081,11490.0,12211.774730150666,5.910481859517245
217,3170588907,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588907,asking,97000,2012,"Bradford, Dunedin",16950.0,0,2021-09-16 10:52:40.914486,17250.0,17986.18648639324,4.093066014578312
218,3170588908,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588908,asking,129000,2012,"Waikiwi, Invercargill",14950.0,0,2021-09-16 10:52:49.073792,15250.0,16072.963095960471,5.120170382070384
219,3170588909,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588909,asking,89880,2010,"Waikiwi, Invercargill",13450.0,0,2021-09-16 10:52:55.568010,13750.0,15058.246502108539,8.687907333203446
220,3170588910,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588910,asking,84000,2008,Gore,11950.0,0,2021-09-16 10:53:02.993706,12250.0,12552.118788538111,2.4069146701669943
221,3170588935,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588935,asking,55000,2009,"Sydenham, Christchurch",13950.0,0,2021-09-16 10:53:11.959956,14250.0,15381.450243993108,7.35593995393881
222,3170588936,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170588936,asking,154000,2012,"Sydenham, Christchurch",13950.0,0,2021-09-16 10:53:20.163884,14250.0,14720.997568044195,3.1994949110420285
224,3170589001,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170589001,asking,86000,2009,"Waimataitai, Timaru",12950.0,0,2021-09-16 19:43:44.157752,13250.0,13793.690869297621,3.9415909378379896
226,3170643480,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3170643480,asking,82000,2009,"Hobsonville, Auckland",11980.0,0,2021-09-16 19:43:58.613545,12280.0,13988.974606938593,12.216582379747361
229,3173060435,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3173060435,asking,127000,2008,"Sydenham, Christchurch",9950.0,0,2021-09-16 19:44:25.780022,10250.0,10791.555913379825,5.018330236406238
230,3173429778,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3173429778,asking,43569,2009,Christchurch,14889.0,0,2021-09-16 19:44:32.788486,15189.0,16011.9775296747,5.139761957256625
232,3174316901,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3174316901,asking,136000,2012,"Waikiwi, Invercargill",14450.0,0,2021-09-16 19:44:49.714594,14750.0,15682.363268846168,5.945298249137972
236,3176085602,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3176085602,asking,117621,2009,"Judea, Tauranga",11990.0,0,2021-09-16 10:31:13.916137,12290.0,12342.860776660053,0.42827005518858796
239,3177513147,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3177513147,asking,69070,2010,"Phillipstown, Christchurch",13990.0,0,2021-09-16 19:45:33.880130,14290.0,16200.846590290053,11.794732945840718
241,3178838617,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3178838617,asking,23301,2010,Christchurch,17990.0,0,2021-09-16 19:45:48.567519,18290.0,19028.17527900636,3.879380277838735
244,3179196255,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3179196255,asking,69000,2009,"Lower Hutt City, Wellington",13995.0,1,2021-09-16 19:46:12.833304,13995.0,14642.944262629067,4.42495888127305
254,3181412254,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3181412254,asking,154000,2011,"Beachville, Nelson",11995.0,0,2021-09-16 19:47:58.636388,12295.0,13302.127195036095,7.571173995478866
256,3181591886,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3181591886,asking,80033,2012,"Sydenham, Christchurch",14950.0,0,2021-09-16 19:48:12.481400,15250.0,19091.350149565125,20.120893071842936
257,3181620018,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3181620018,asking,113390,2011,"Tauriko, Tauranga",14984.0,1,2021-09-16 19:48:18.384214,14984.0,15342.852122592598,2.3388879702762844
258,3182857560,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3182857560,near_offer,85000,2006,"North Shore, Auckland",7500.0,1,2021-09-16 19:48:25.227803,7500.0,10213.119252070777,26.56504036727736
261,3184042027,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3184042027,asking,140000,2011,"Phillipstown, Christchurch",13490.0,0,2021-09-16 19:49:14.687400,13790.0,13973.010066828263,1.309739747935389
262,3184042028,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3184042028,asking,103000,2010,"Phillipstown, Christchurch",13990.0,0,2021-09-16 19:48:53.712584,14290.0,14379.66316242074,0.6235414655265537
267,3184042044,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3184042044,asking,105000,2011,"Phillipstown, Christchurch",14990.0,0,2021-09-16 19:49:43.013214,15290.0,15802.003773910545,3.2401192990212677
270,3184360897,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3184360897,asking,119900,2008,"Prestonville, Invercargill",10990.0,1,2021-09-16 19:50:00.065843,10990.0,11064.228541177736,0.6708876348809981
276,3186928331,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3186928331,asking,178500,2011,"Blenhiem, Marlborough",11990.0,1,2021-09-16 19:50:51.179067,11990.0,12204.656586218325,1.7588088997171663
280,3188034332,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3188034332,asking,54330,2010,Christchurch,15989.0,0,2021-09-16 19:51:21.449631,16289.0,17062.241433781128,4.531886603422487
284,3189583459,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3189583459,asking,87000,2012,"Sydenham, Christchurch",17950.0,0,2021-09-16 19:51:53.243028,18250.0,18629.559011480404,2.037402019266809
285,3189585235,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3189585235,asking,97000,2012,"Waimataitai, Timaru",16950.0,0,2021-09-16 19:52:00.444946,17250.0,17986.18648639324,4.093066014578312
287,3189586868,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3189586868,asking,77000,2009,"Sydenham, Christchurch",12350.0,0,2021-09-16 19:52:15.192286,12650.0,14236.971745870787,11.146834974446472
308,3197932487,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3197932487,near_offer,193885,2006,"Helensville, Auckland",6500.0,1,2021-09-16 19:55:18.205114,6500.0,6965.65518585868,6.685016318407914
309,3198013092,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3198013092,asking,72761,2012,"Manukau, Auckland",17980.0,0,2021-09-16 19:55:24.631072,18280.0,19585.571452439595,6.665986007147992
